Open_day1,Open_day2,Open_day3,High_day1,High_day2,High_day3,Low_day1,Low_day2,Low_day3,Volume_day1,Volume_day2,Volume_day3,Target
154.01,153.63,154.26,153.86,155.09,154.45,152.46,153.91,152.72,20088940.0,16216800.0,18631540.0,154.18
139.41,140.72,139.3,141.02,140.75,139.65,140.26,139.03,138.84,19173780.0,25676720.0,15281850.0,141.0
106.05,104.81,104.41,105.84,106.07,106.15,104.77,104.0,104.41,30148360.0,33770220.0,38018910.0,105.58
191.64,191.09,189.83,194.46,191.68,190.08,191.05,188.38,188.54,22727370.0,27308200.0,23524830.0,193.25
108.91,107.28,112.02,107.37,109.52,112.25,105.57,105.81,108.98,47507230.0,96197190.0,44654830.0,107.4
169.88,173.0,170.97,174.0,173.09,172.48,171.53,169.85,168.2,28567110.0,28976200.0,34949690.0,172.23
165.53,166.87,170.16,168.44,167.37,170.16,166.5,164.7,167.07,32234520.0,45635470.0,50565420.0,167.17
154.0,154.9,153.38,154.9,154.58,153.98,153.31,152.91,152.63,19906170.0,22930630.0,26892850.0,153.84
185.26,185.42,187.79,188.43,186.41,187.95,185.2,184.28,183.54,17426160.0,16543880.0,13954810.0,189.5
184.1,186.29,185.23,187.19,186.21,187.28,182.91,183.8,184.03,22551660.0,17352380.0,24987260.0,183.82
324.66,324.39,320.75,325.62,326.2,323.44,320.78,322.3,318.93,21890090.0,26122800.0,21910700.0,323.35
125.32,123.09,126.2,123.61,125.74,127.09,122.12,123.9,125.06,44371580.0,42090320.0,50832950.0,123.38
155.84,157.5,148.3,158.52,156.77,157.23,154.55,150.07,146.72,41740600.0,51608850.0,58133850.0,158.53
110.0,112.73,110.19,112.75,112.28,110.19,111.44,109.49,108.21,30386830.0,52720620.0,61747260.0,110.82
149.89,149.9,153.75,150.33,150.23,153.99,148.13,149.19,147.3,19690420.0,17192770.0,32429770.0,149.1
177.25,174.51,177.3,174.95,177.3,179.44,170.53,173.2,176.82,41438280.0,51368540.0,32395870.0,172.0
111.07,112.02,111.94,112.25,111.99,112.8,108.98,108.8,110.35,44654830.0,56157370.0,53168580.0,108.91
95.02,96.67,94.19,98.21,96.85,94.5,96.15,94.61,93.01,44811800.0,48032600.0,40323020.0,98.84
97.6,97.79,99.02,98.27,97.84,99.54,97.45,96.63,98.33,28487570.0,40170200.0,29139100.0,97.99
277.14,277.39,263.75,281.22,286.44,278.09,271.86,269.37,263.0,64094970.0,71322520.0,71686210.0,255.94
200.81,199.2,203.35,201.51,201.4,205.08,198.81,198.41,202.9,20578020.0,25338630.0,17265520.0,201.85
162.61,159.87,160.5,159.96,163.96,162.05,157.91,158.77,159.89,44866280.0,71574560.0,31506890.0,158.99
97.17,97.41,96.75,97.67,97.7,97.65,96.84,97.12,96.73,25879680.0,24129530.0,23317990.0,97.39
258.3,261.55,258.69,262.79,262.47,260.44,260.92,258.28,256.85,21847230.0,20507460.0,17520500.0,261.13
219.01,220.15,217.15,223.49,220.54,218.74,219.41,218.92,216.33,27074260.0,22751390.0,20400770.0,223.25
191.9,190.3,194.99,192.14,192.2,195.19,189.34,189.07,190.1,37847260.0,20912890.0,23975350.0,199.13
142.9,144.11,143.02,145.95,144.75,143.5,143.37,142.9,142.41,21080580.0,18527000.0,24110330.0,144.73
263.75,263.68,261.13,265.78,264.88,264.78,263.01,262.1,261.07,25093670.0,22395560.0,25817590.0,265.8
104.19,104.41,102.83,106.15,104.55,104.45,104.41,103.68,102.82,38018910.0,27697970.0,38771840.0,106.05
143.92,144.09,144.47,144.3,144.16,144.6,143.27,143.31,143.38,20783460.0,14198660.0,19998050.0,145.1
115.12,115.19,113.86,116.18,116.13,115.73,113.25,114.04,113.49,46937190.0,79763890.0,90398170.0,113.05
156.6,159.32,159.9,160.21,158.57,160.0,158.75,156.07,154.63,22074760.0,26208970.0,39636190.0,160.66
159.9,156.6,159.26,158.57,160.0,161.27,156.07,154.63,159.11,26208970.0,39636190.0,26060430.0,159.32
322.37,314.18,322.57,321.55,323.4,325.22,313.85,318.0,320.26,27337220.0,29421010.0,26356390.0,323.6
349.31,344.72,347.9,347.8,351.06,354.77,334.22,335.48,346.09,50036510.0,50415610.0,41662940.0,333.25
186.35,188.77,188.38,188.84,188.5,188.88,186.21,185.76,186.78,23129400.0,19966590.0,15228270.0,188.23
196.42,200.32,196.45,202.85,200.23,197.1,199.23,196.34,195.93,35738280.0,25829880.0,18473070.0,198.68
265.8,267.9,263.68,268.0,267.43,265.78,265.39,264.23,263.01,19069600.0,21700900.0,25093670.0,265.54
200.58,207.03,199.13,208.74,208.38,201.76,205.48,200.35,197.31,33408050.0,62317430.0,67812280.0,208.0
187.88,185.14,190.03,186.33,189.22,190.16,183.45,187.2,188.26,33538550.0,18458410.0,61438290.0,186.35
189.69,191.78,191.78,192.43,192.55,191.8,190.17,189.69,189.93,20670830.0,20182050.0,16365720.0,190.68
110.43,94.87,114.08,108.8,111.9,114.35,92.0,105.65,111.63,161882500.0,127246600.0,68176940.0,111.11
280.0,282.4,268.31,286.33,288.25,273.7,280.63,278.05,265.83,32788640.0,48748670.0,32755730.0,287.38
267.48,270.0,263.79,270.8,271.0,265.89,264.91,267.3,262.73,32182650.0,26547490.0,18661340.0,268.6
110.12,111.95,109.72,112.42,111.99,110.54,111.4,110.01,109.66,25931710.0,29164190.0,28310840.0,111.36
145.77,145.13,145.52,147.16,146.7,146.07,145.11,145.12,144.61,35421310.0,19082170.0,21247590.0,147.17
216.6,217.15,214.65,218.74,216.9,217.05,216.33,215.11,214.6,20400770.0,18457720.0,18505780.0,219.01
149.03,153.87,146.76,154.88,153.7,148.98,153.45,149.03,146.76,38907940.0,48670440.0,27254850.0,153.63
189.75,191.78,191.52,191.8,191.87,192.65,189.93,189.2,190.42,16365720.0,15515000.0,15009800.0,189.69
116.7,118.08,114.33,118.13,119.23,115.5,114.92,116.33,114.1,66139770.0,59251740.0,41430660.0,115.4
221.0,223.82,219.75,226.44,223.75,222.82,223.54,219.76,219.7,29729270.0,23430370.0,22811140.0,224.79
139.3,139.41,138.85,140.75,139.65,139.43,139.03,138.84,138.82,25676720.0,15281850.0,17048800.0,140.72
178.65,177.32,178.5,177.47,179.12,180.24,173.66,177.62,178.07,32931110.0,38313330.0,22676520.0,175.24
154.15,154.11,156.41,154.48,155.14,156.73,151.74,151.7,152.62,25418110.0,23046560.0,30273990.0,155.48
187.6,187.72,188.23,188.0,188.75,189.65,186.78,186.87,187.65,18503410.0,22409110.0,17186760.0,187.22
186.27,189.91,186.41,192.47,191.75,189.7,188.84,186.02,185.41,33031360.0,26544720.0,36529680.0,186.93
102.37,102.39,100.58,102.83,103.75,101.71,100.96,101.37,100.45,35890740.0,46026600.0,36884490.0,100.78
191.52,189.75,191.08,191.87,192.65,191.84,189.2,190.42,190.9,15515000.0,15009800.0,12506830.0,191.78
157.86,157.5,160.52,157.89,159.5,160.71,155.11,156.72,157.84,26330070.0,27391950.0,27377960.0,158.23
113.85,114.35,113.05,114.94,113.99,114.12,114.0,112.44,112.51,31048170.0,35951900.0,34494150.0,114.42
172.4,168.99,174.65,170.66,173.94,175.57,168.42,170.34,172.85,23793830.0,31644240.0,28204640.0,171.05
117.33,119.21,119.27,119.23,119.35,119.73,117.92,117.12,117.34,21341960.0,42747950.0,32445680.0,118.29
159.07,160.43,158.23,160.74,160.47,160.0,158.55,158.88,158.02,19782170.0,19376940.0,21564890.0,159.65
145.52,145.77,146.87,146.7,146.07,146.87,145.12,144.61,144.94,19082170.0,21247590.0,24877950.0,145.13
117.25,116.86,118.18,117.38,117.76,118.21,116.33,113.8,117.45,24100150.0,19977160.0,24308210.0,116.81
93.37,93.0,94.0,93.77,93.45,94.07,92.59,91.85,92.68,32895650.0,43665160.0,35850220.0,93.33
106.34,105.93,105.52,107.65,106.5,106.47,105.14,105.19,104.96,35454230.0,43607120.0,34394830.0,105.25
160.86,160.5,162.09,162.05,161.15,162.24,159.89,158.53,160.36,31506890.0,28411740.0,21905160.0,162.61
218.55,220.0,221.03,220.94,221.5,222.49,218.83,217.14,217.19,19088310.0,22481010.0,31434370.0,220.54
113.0,113.69,111.64,114.64,113.18,113.39,113.43,112.34,111.55,29608390.0,24587490.0,29800240.0,113.16
120.93,121.15,122.14,121.39,121.63,122.35,120.62,120.66,121.6,47767760.0,30327110.0,20495340.0,127.03
187.74,189.49,186.55,190.06,190.37,187.4,187.45,187.65,185.22,26167950.0,27942430.0,23141260.0,189.01
209.98,205.55,205.97,206.01,210.12,210.06,202.25,206.75,204.13,34317760.0,25289270.0,33291640.0,199.0
200.85,199.2,198.68,200.14,201.0,200.74,196.21,198.44,198.18,27738580.0,20543190.0,21654750.0,198.58
315.31,323.52,304.3,324.76,319.64,313.49,318.95,313.63,302.22,29706720.0,34154130.0,43496400.0,322.57
112.71,113.06,112.46,114.31,113.05,113.37,112.63,112.28,111.8,29707270.0,21634520.0,36340670.0,113.4
194.99,191.9,194.61,192.2,195.19,195.96,189.07,190.1,193.61,20912890.0,23975350.0,19005150.0,190.3
116.04,115.19,117.64,115.39,116.94,117.69,112.85,115.51,115.08,46810020.0,29158640.0,46301930.0,112.18
108.78,110.42,109.72,112.19,110.0,109.9,110.27,108.2,108.88,37322930.0,25820460.0,25763840.0,109.51
113.46,111.4,113.65,112.35,113.77,114.23,111.23,110.53,113.2,28174980.0,43403760.0,26378910.0,110.98
191.63,193.9,199.0,194.48,197.18,199.85,185.93,191.45,193.79,60547340.0,46725710.0,50991030.0,188.39
106.96,108.58,107.59,108.7,109.43,107.69,107.18,106.86,106.18,25184090.0,30912260.0,26639930.0,107.01
141.41,141.88,141.48,142.0,142.04,141.88,140.45,141.11,140.87,17302160.0,14676420.0,16529130.0,141.22
171.39,169.71,170.1,171.26,172.48,171.0,169.38,169.92,169.7,21785180.0,22389660.0,22224400.0,171.25
97.2,96.86,96.05,98.23,98.02,96.76,96.65,96.58,95.25,35131460.0,28949760.0,27526040.0,97.65
95.2,94.0,94.2,94.07,95.9,95.74,92.68,93.82,93.68,35850220.0,40984160.0,56770080.0,93.37
204.0,205.79,204.05,206.5,205.88,205.09,202.36,203.7,203.27,20929310.0,18582160.0,14107450.0,203.65
185.18,184.99,178.25,186.22,187.67,184.25,183.67,184.75,178.17,28053230.0,42557530.0,56137230.0,186.55
300.46,303.22,295.06,305.17,303.24,301.0,301.97,298.87,294.46,28803760.0,35583440.0,36937800.0,305.64
177.3,177.25,177.3,177.3,179.44,177.78,173.2,176.82,176.6,51368540.0,32395870.0,27052000.0,174.51
111.29,110.93,110.82,112.1,111.52,112.45,110.49,109.56,110.68,37622200.0,44434220.0,32970790.0,111.78
151.78,153.8,149.99,154.72,153.92,151.83,153.54,151.69,149.16,25402270.0,35907770.0,44366140.0,153.89
160.11,159.51,158.47,159.77,160.5,160.97,158.44,158.0,158.0,20565620.0,28157630.0,48846060.0,157.9
227.03,227.93,225.82,230.44,227.79,228.06,227.3,225.64,224.33,28962980.0,19029420.0,29282700.0,232.95
112.46,112.71,113.16,113.05,113.37,113.8,112.28,111.8,111.8,21634520.0,36340670.0,35850010.0,113.06
218.06,219.79,217.86,223.36,221.26,219.74,218.94,217.43,213.0,28751540.0,32874330.0,32389280.0,215.83
182.66,180.29,176.73,180.33,182.8,181.29,177.03,177.7,174.93,39424260.0,41523580.0,45941750.0,184.46
247.42,248.97,243.16,249.75,249.25,246.73,242.57,246.72,242.88,35709870.0,24143240.0,18369300.0,244.76
266.6,267.27,265.58,268.25,268.0,267.98,263.45,265.9,265.31,23693550.0,11654360.0,16386120.0,258.31
127.98,128.31,127.03,129.19,129.39,130.49,128.16,127.78,127.01,24460160.0,33671250.0,111837300.0,129.13
248.97,244.76,247.42,245.3,249.75,249.25,241.21,242.57,246.72,31130520.0,35709870.0,24143240.0,247.24
98.69,97.32,98.53,98.48,99.12,99.35,96.75,97.1,98.48,31890740.0,37708360.0,31672220.0,97.82
105.93,105.25,106.34,107.29,107.65,106.5,105.21,105.14,105.19,32345430.0,35454230.0,43607120.0,106.48
116.86,116.81,117.25,116.91,117.38,117.76,116.28,116.33,113.8,22527690.0,24100150.0,19977160.0,117.1
157.05,156.07,159.28,157.4,157.21,159.75,155.69,155.02,156.16,20514810.0,26604140.0,69726440.0,157.06
195.41,200.2,196.31,203.53,199.56,198.07,199.39,193.82,194.04,27009520.0,33364400.0,35824790.0,201.3
111.36,111.13,111.95,111.87,111.51,112.42,110.95,110.33,111.4,11475920.0,27420550.0,25931710.0,111.43
153.97,153.17,153.42,153.33,154.17,154.43,152.22,152.38,153.33,16383610.0,24452750.0,20118620.0,153.58
172.63,170.43,174.3,172.14,172.92,174.87,168.44,167.16,171.86,41484540.0,41459120.0,26387240.0,169.95
155.94,153.6,156.01,154.57,156.06,156.65,149.71,154.72,155.05,50674280.0,19994270.0,25912270.0,151.27
135.67,135.1,135.52,135.83,135.9,136.27,135.1,134.84,134.62,22163280.0,22539860.0,35578640.0,136.23
255.6,246.5,250.74,248.72,262.49,255.52,239.13,252.0,249.4,44054640.0,49250500.0,41994110.0,240.34
215.83,222.6,219.79,224.23,223.25,223.36,214.54,214.7,218.94,39992120.0,38681170.0,28751540.0,217.71
214.05,214.84,212.0,216.44,214.42,213.97,211.07,212.51,211.51,27309400.0,19362290.0,23946880.0,213.86
209.22,211.75,210.16,213.81,210.74,210.56,211.47,208.33,208.26,27595310.0,28595230.0,20679270.0,213.44
110.08,110.31,108.53,111.72,110.51,110.25,109.7,109.46,108.11,24129630.0,32361930.0,30790930.0,109.88
111.34,114.0,110.8,115.58,114.17,111.75,113.7,110.82,110.11,42276880.0,48929200.0,29723750.0,114.33
219.19,211.15,215.9,215.18,219.69,220.19,209.27,206.09,212.67,36487930.0,45713690.0,47191700.0,216.88
93.13,94.29,96.52,95.94,95.7,96.92,93.93,93.04,93.69,44282560.0,53920550.0,46315620.0,95.92
152.5,152.88,151.29,153.7,153.97,154.53,151.51,150.86,149.63,26924630.0,35661200.0,45034370.0,150.85
179.26,178.54,179.1,179.78,180.62,180.48,172.66,178.05,178.16,48706170.0,37568080.0,38885510.0,172.8
117.05,116.55,118.75,116.79,118.11,118.81,114.22,116.08,116.86,41511380.0,33316990.0,34806250.0,115.29
169.03,170.49,167.5,171.0,170.44,170.2,168.82,168.91,166.46,23285760.0,25656110.0,28397810.0,169.2
218.01,224.94,220.95,225.0,224.3,221.85,219.84,216.56,216.47,49118510.0,35644510.0,39194720.0,223.52
313.59,316.27,311.85,318.74,315.7,315.5,315.0,312.09,309.55,34454120.0,27207250.0,30480880.0,317.19
141.6,141.91,142.94,142.38,142.15,143.35,141.05,141.01,140.06,17775510.0,20320420.0,30341520.0,141.48
282.4,287.38,280.0,288.2,286.33,288.25,282.35,280.63,278.05,39281290.0,32788640.0,48748670.0,284.69
112.23,112.17,107.09,113.31,113.24,109.89,111.54,110.02,105.05,53075960.0,83825220.0,96531890.0,112.03
157.23,159.29,156.91,163.6,157.83,157.55,158.7,156.78,155.27,44387770.0,16916650.0,21175670.0,163.89
110.63,111.74,109.88,111.77,111.74,111.37,109.41,109.77,109.07,46717770.0,48702200.0,52033100.0,110.19
172.23,173.41,173.0,175.0,173.92,174.0,173.04,171.7,171.53,22858840.0,22401040.0,28567110.0,174.78
143.78,143.66,143.32,146.74,144.5,144.48,143.66,142.2,142.21,32203640.0,50264540.0,31642900.0,146.87
172.48,169.06,169.95,171.52,172.62,171.67,168.4,169.63,168.5,27315530.0,32512580.0,39735110.0,167.5
217.79,218.5,222.15,219.62,221.85,222.95,215.3,217.12,217.27,26869880.0,31495630.0,36810120.0,220.24
146.52,146.76,145.59,148.98,147.14,147.49,146.76,145.81,144.27,27254850.0,23345970.0,45579740.0,149.03
115.4,116.93,118.08,119.3,116.54,118.13,116.06,113.99,114.92,85436210.0,67673450.0,66139770.0,118.7
113.65,113.46,113.87,113.77,114.23,115.21,110.53,113.2,113.45,43403760.0,26378910.0,36792100.0,111.4
240.34,242.8,246.5,245.7,245.15,248.72,238.97,236.9,239.13,32470020.0,41483490.0,44054640.0,250.9
191.08,191.52,189.53,192.65,191.84,191.41,190.42,190.9,189.31,15009800.0,12506830.0,18000180.0,189.75
199.46,199.54,198.58,203.38,201.37,199.85,198.61,198.56,198.01,28865310.0,25668330.0,17524150.0,203.12
321.47,324.19,323.6,326.22,327.22,323.9,323.35,321.47,318.71,23686890.0,28432570.0,23580780.0,324.74
150.58,151.8,149.99,153.84,152.44,150.44,151.8,149.9,148.88,18798250.0,21466370.0,25111310.0,153.35
144.49,144.71,145.01,145.13,146.11,146.16,142.28,143.16,143.62,31450520.0,22052920.0,24725210.0,144.45
191.55,190.03,192.42,190.16,191.57,192.88,188.26,190.22,190.44,61438290.0,21584720.0,21480120.0,187.88
149.2,150.48,148.82,151.42,150.13,150.9,149.95,148.67,148.57,20859830.0,17837130.0,23765710.0,151.5
100.56,98.68,105.75,100.13,102.37,105.85,96.43,99.87,102.41,80742460.0,68384270.0,55583140.0,98.55
129.08,130.97,127.74,132.97,129.62,128.57,130.7,128.31,127.35,55204920.0,45970470.0,35987630.0,132.85
262.74,268.7,270.8,270.07,267.37,271.7,264.7,261.23,259.0,40529120.0,42223820.0,50721830.0,268.31
247.39,247.18,239.77,251.83,252.84,250.0,228.0,242.61,237.12,100423300.0,67964260.0,75058410.0,228.08
304.3,315.31,320.93,319.64,313.49,322.68,313.63,302.22,308.29,34154130.0,43496400.0,49897100.0,323.52
143.72,143.71,144.19,144.12,144.27,144.5,143.05,143.01,143.5,19970040.0,19576480.0,21189000.0,143.25
95.1,97.06,98.41,97.88,98.19,98.65,94.94,93.42,95.5,52099200.0,72274300.0,52960810.0,98.63
296.24,297.15,289.93,300.58,300.6,293.68,296.5,295.19,289.52,36633880.0,33911860.0,25247630.0,293.79
135.91,137.14,137.38,137.44,136.66,137.48,136.28,135.28,136.3,20222210.0,21754600.0,20762360.0,137.08
141.5,139.39,141.26,141.22,141.74,141.58,138.62,140.35,140.61,23531670.0,22355140.0,20299310.0,140.91
119.4,120.45,120.0,120.45,120.09,120.5,119.73,119.37,119.71,29922650.0,25554290.0,23687350.0,120.0
142.11,139.85,140.4,141.6,142.8,141.5,139.76,139.73,140.23,25804820.0,39461130.0,21258100.0,141.26
93.48,92.72,93.33,92.78,93.57,93.57,89.47,92.46,92.11,76183460.0,28641180.0,33653020.0,90.0
140.0,138.78,137.89,139.83,140.28,140.15,138.59,138.76,137.6,21555370.0,26170690.0,36362440.0,139.37
344.72,333.25,349.31,345.68,347.8,351.06,332.58,334.22,335.48,34702230.0,50036510.0,50415610.0,351.46
205.79,203.65,204.0,207.23,206.5,205.88,203.61,202.36,203.7,22277930.0,20929310.0,18582160.0,208.46
163.8,163.64,160.1,164.52,163.89,163.12,163.48,162.61,160.0,26729940.0,27215770.0,29451050.0,164.8
187.25,186.12,186.35,186.15,188.35,187.2,184.7,184.94,185.73,27185130.0,25649240.0,20490090.0,183.4
139.25,138.85,138.74,139.43,139.36,138.79,138.82,138.64,137.05,17048800.0,19578920.0,22117750.0,139.3
244.76,247.24,248.97,249.17,245.3,249.75,237.26,241.21,242.57,34790520.0,31130520.0,35709870.0,249.54
105.8,105.66,106.62,106.57,106.5,107.44,105.64,105.5,106.29,31639010.0,24817940.0,24900130.0,106.14
173.16,174.59,174.55,175.49,174.3,175.06,174.49,173.0,173.41,18653380.0,23751690.0,21532200.0,176.18
